2014	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
27	63	58	54	55	51	45	82	-	61	14	-	0	30.04	-	29.92	-	0	-
28	63	60	58	57	53	50	88	-	66	22	-	0	30.01	-	29.89	-	0	-
29	65	62	60	57	56	54	88	-	60	15	-	4	30.04	-	29.92	-	0	-
30	64	62	61	55	54	53	82	-	59	8	-	0	30.01	-	29.95	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jul	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	63	62	60	55	54	53	77	-	58	7	-	0	30.04	-	29.95	-	0	-
2	64	62	60	59	56	53	88	-	61	10	-	0	30.09	-	30.01	-	0	-
3	67	63	59	55	54	52	77	-	54	10	-	1	30.12	-	30.04	-	0	-
4	69	64	60	55	50	46	73	-	41	16	-	0	30.15	-	30.06	-	0	-
5	66	60	54	54	49	45	77	-	41	22	-	2	30.18	-	30.01	-	0	-
6	64	58	51	55	52	44	82	-	62	10	-	0	30.04	-	29.95	-	0	-
7	65	61	57	55	53	50	82	-	60	15	-	0	30.09	-	29.95	-	0	-
8	92	76	60	59	54	45	88	-	20	40	-	0	30.11	-	29.86	-	0	-
9	64	62	60	59	57	55	94	-	76	14	-	2	30.01	-	29.92	-	0	-
10	65	63	61	57	56	54	82	-	65	8	-	1	30.09	-	29.98	-	0	-
11	68	65	62	56	54	52	77	-	50	13	-	0	30.09	-	30.04	-	0	-
12	64	62	60	54	52	50	77	-	53	12	-	0	30.06	-	29.95	-	0	-
13	62	60	59	52	50	50	72	-	61	9	-	0	30.12	-	30.01	-	0	-
14	64	62	59	52	49	46	72	-	52	12	-	0	30.12	-	30.06	-	0	-
15	64	60	57	54	49	45	77	-	55	17	-	0	30.15	-	30.04	-	0	-
16	62	58	53	50	49	48	82	-	63	8	-	0	30.09	-	29.98	-	0	-
17	62	60	57	50	47	45	72	-	55	14	-	1	30.15	-	30.06	-	0	-
18	62	57	52	54	50	45	82	-	62	16	-	2	30.09	-	29.92	-	0	-
19	63	60	58	52	50	48	77	-	55	10	-	2	30.06	-	29.98	-	0	-
20	62	59	56	52	50	48	77	-	56	12	-	0	30.09	-	29.98	-	0	-
21	63	60	58	52	51	50	77	-	59	10	-	0	30.09	-	29.98	-	0	-
22	62	58	55	54	51	48	77	-	59	16	-	0	30.09	-	29.95	-	0	-
23	63	60	58	52	51	49	72	-	54	17	-	2	30.1	-	29.89	-	0	-
24	65	62	60	54	51	50	72	-	50	12	-	0	30.15	-	29.98	-	0	-
25	65	60	56	55	52	46	82	-	55	23	-	2	30.15	-	29.98	-	0	-
26	64	60	57	54	53	52	82	-	56	13	-	1	30.01	-	29.89	-	0	-
27	65	62	59	54	51	50	77	-	52	9	-	0	30.01	-	29.92	-	0	-
28	64	61	58	54	51	48	77	-	53	10	-	0	30.04	-	29.95	-	0	-
29	64	62	59	52	49	48	68	-	50	13	-	2	30.04	-	29.92	-	0	-
30	65	62	60	53	51	49	68	-	53	9	-	0	30.06	-	29.92	-	0	-
31	64	60	56	54	50	46	77	-	55	20	-	0	30.07	-	29.95	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Aug	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	63	60	57	53	52	50	77	-	57	10	-	2	30.04	-	29.92	-	0	-
2	63	61	59	52	51	50	72	-	57	10	-	0	30.06	-	29.98	-	0	-
3	64	62	59	52	50	48	68	-	54	12	-	2	30.07	-	29.95	-	0	-
4	64	62	60	52	51	50	72	-	52	8	-	0	30.06	-	29.95	-	0	-
5	64	62	61	52	50	49	68	-	52	9	-	0	30.09	-	30.01	-	0	-
6	65	56	48	52	50	43	82	-	46	10	-	1	30.24	-	30.01	-	0	-
7	65	62	59	54	51	48	72	-	58	14	-	2	30.09	-	30.01	-	0	-
8	63	62	60	51	50	48	68	-	53	10	-	0	30.09	-	29.98	-	0	-
9	64	61	58	52	50	48	72	-	53	13	-	1	30.06	-	29.95	-	0	-
10	63	60	58	52	50	41	100	-	56	12	-	2	30.12	-	29.98	-	0	-
11	64	60	55	54	51	46	77	-	57	16	-	0	30.09	-	29.95	-	0	-
12	65	62	59	54	52	50	72	-	57	15	-	0	30.04	-	29.95	-	0	-
13	63	61	59	52	51	48	72	-	57	13	-	0	30.07	-	29.98	-	0	-
14	63	60	56	54	51	48	77	-	53	14	-	2	30.06	-	29.95	-	0	-
15	64	61	58	54	52	50	77	-	56	10	-	0	29.98	-	29.89	-	0	-
16	63	61	59	52	51	50	72	-	58	9	-	0	30.06	-	29.95	-	0	-
17	65	62	60	52	50	48	72	-	49	13	-	1	30.09	-	30.01	-	0	-
18	65	62	60	54	50	48	72	-	46	10	-	2	30.09	-	30.01	-	0	-
19	66	63	60	54	51	48	77	-	48	15	-	0	30.06	-	29.98	-	0	-
20	65	62	60	54	51	50	72	-	51	9	-	0	30.06	-	29.92	-	0	-
21	65	62	59	52	51	50	72	-	56	13	-	4	29.98	-	29.89	-	0	-
22	66	63	60	54	53	50	77	-	53	12	-	2	30.01	-	29.92	-	0	-
23	65	60	55	57	54	48	77	-	65	17	-	2	30.04	-	29.92	-	0	-
24	65	62	58	55	53	50	77	-	57	15	-	0	30.06	-	29.98	-	0	-
25	66	63	60	55	51	48	77	-	53	14	-	4	30.06	-	29.98	-	0	-
26	66	64	61	55	53	50	77	-	44	17	-	0	30.15	-	29.95	-	0	-
27	65	62	59	55	54	50	77	-	60	20	-	4	30.12	-	29.95	-	0	-
28	64	62	59	54	52	48	77	-	55	15	-	0	30.18	-	30.04	-	0	-
29	67	60	54	52	49	46	77	-	50	22	-	2	30.18	-	30.04	-	0	-
30	63	57	51	52	49	45	82	-	53	10	-	4	30.06	-	29.95	-	0	-
31	64	62	60	52	50	48	68	-	59	12	-	4	30.12	-	30.04	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Sep	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	66	62	57	54	51	46	77	-	59	15	-	0	30.12	-	30.01	-	0	-
2	64	62	59	55	51	50	82	-	59	10	-	2	30.15	-	30.06	-	0	-
3	64	60	55	52	50	48	77	-	59	14	-	4	30.09	-	30.01	-	0	-
4	64	62	59	52	49	48	72	-	59	13	-	0	30.09	-	30.04	-	0	-
5	64	60	55	54	51	48	82	-	63	23	-	2	30.09	-	29.98	-	0	-
6	62	60	59	54	52	52	82	-	68	10	-	1	30.06	-	29.95	-	0	-
7	66	62	59	54	52	48	77	-	59	14	-	5	30.12	-	30.01	-	0	-
8	64	60	57	54	52	50	77	-	64	15	-	4	30.09	-	29.95	-	0	-
9	64	62	59	52	51	50	72	-	63	13	-	2	30.06	-	29.98	-	0	-
10	64	62	60	52	50	48	72	-	56	14	-	4	30.15	-	30.04	-	0	-
11	64	62	59	52	50	48	68	-	59	16	-	0	30.15	-	30.01	-	0	-
12	64	62	60	52	49	46	72	-	55	15	-	0	30.09	-	30.01	-	0	-
13	66	63	60	52	50	46	72	-	55	9	-	0	30.12	-	30.04	-	0	-
14	66	62	57	55	52	46	82	-	56	17	-	2	30.12	-	30.04	-	0	-
15	66	62	57	54	53	50	77	-	64	13	-	5	30.09	-	30.01	-	0	-
16	64	60	57	54	53	50	82	-	68	21	-	0	30.06	-	29.89	-	0	-
17	66	62	59	54	52	50	77	-	60	16	-	0	30.04	-	29.92	-	0	-
18	64	62	60	54	51	50	77	-	59	12	-	2	30.04	-	29.92	-	0	-
19	64	62	60	52	51	50	72	-	59	12	-	0	29.98	-	29.89	-	0	-
20	66	63	60	54	51	50	72	-	59	9	-	2	29.98	-	29.92	-	0	-
21	68	65	62	54	52	50	72	-	56	10	-	2	30.01	-	29.89	-	0	-
22	66	64	62	55	51	50	77	-	56	13	-	0	30.06	-	29.95	-	0	-
23	66	62	59	54	52	48	77	-	59	16	-	0	30.06	-	29.98	-	0	-
24	66	63	60	54	51	50	72	-	56	12	-	2	30.06	-	29.98	-	0	-
25	66	63	60	54	51	48	77	-	59	15	-	2	30.06	-	29.95	-	0	-
26	66	64	62	54	51	48	72	-	52	14	-	0	30.04	-	29.89	-	0	-
27	66	64	62	54	51	50	72	-	60	16	-	0	30.04	-	29.92	-	0	-
28	66	62	59	55	52	50	77	-	60	15	-	2	30.09	-	30.01	-	0	-
29	66	64	62	55	53	50	77	-	59	20	-	6	30.09	-	29.98	-	0	-
30	66	62	59	54	52	46	72	-	56	15	-	0	30.09	-	29.95	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Oct	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	68	65	62	54	51	50	72	-	52	15	-	0	30.06	-	29.95	-	0	-
2	66	64	62	54	52	50	72	-	59	15	-	0	30.06	-	29.98	-	0	-
3	68	64	59	55	52	50	77	-	56	15	-	2	30.06	-	29.95	-	0	-
4	66	63	60	55	52	48	77	-	56	18	-	4	30.06	-	29.95	-	0	-
5	66	63	60	54	52	50	72	-	59	10	-	2	30.04	-	29.92	-	0	-
6	68	65	62	57	54	52	73	-	56	13	-	5	30.04	-	29.92	-	0	-
7	69	66	62	55	53	50	73	-	56	10	-	0	29.98	-	29.92	-	0	-
8	68	64	60	57	53	50	73	-	60	13	-	2	30.01	-	29.92	-	0	-
9	68	64	60	55	54	50	73	-	60	14	-	4	30.04	-	29.92	-	0	-
10	68	64	60	57	54	52	82	-	60	16	-	2	30.06	-	29.95	-	0	-
11	68	64	59	57	54	52	82	-	64	15	-	4	30.06	-	29.95	-	0	-
12	68	64	59	55	54	52	82	-	64	21	-	2	30.04	-	29.92	-	0	-
13	68	64	60	55	55	52	82	-	64	14	-	0	30.01	-	29.89	-	0	-
14	68	65	62	54	53	52	72	-	56	10	-	2	30.04	-	29.95	-	0	-
15	69	64	60	55	53	50	73	-	60	18	-	0	30.06	-	29.95	-	0	-
16	69	66	62	55	52	48	73	-	52	15	-	2	30.04	-	29.95	-	0	-
17	68	66	64	55	53	50	73	-	52	20	-	0	30.04	-	29.98	-	0	-
18	69	64	60	55	52	50	77	-	49	21	-	6	30.09	-	30.01	-	0	-
19	64	60	57	54	52	50	77	-	59	13	-	4	30.06	-	29.95	-	0	-
20	68	64	60	54	51	50	72	-	52	15	-	0	30.04	-	29.89	-	0	-
21	66	64	62	54	52	50	68	-	59	14	-	0	30.01	-	29.89	-	0	-
22	68	64	60	55	53	50	77	-	59	17	-	4	30.09	-	29.98	-	0	-
23	66	62	59	54	52	50	77	-	64	18	-	4	30.09	-	29.98	-	0	-
24	66	64	62	57	52	48	77	-	56	16	-	1	30.09	-	30.01	-	0	-
25	68	65	62	55	53	50	73	-	56	14	-	0	30.06	-	29.95	-	0	-
26	68	65	62	54	53	52	72	-	56	12	-	0	30.04	-	29.92	-	0	-
27	69	66	64	55	53	52	68	-	56	12	-	1	30.01	-	29.89	-	0	-
28	68	64	60	55	53	52	72	-	60	14	-	0	30.01	-	29.89	-	0	-
29	68	64	60	57	55	52	77	-	64	20	-	0	30.01	-	29.89	-	0	-
30	69	64	59	57	54	54	82	-	56	16	-	0	30.04	-	29.95	-	0	-
31	68	65	62	55	52	50	73	-	52	14	-	1	30.04	-	29.95	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Nov	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	69	66	64	55	52	50	73	-	49	16	-	5	30.06	-	29.98	-	0	-
2	68	64	60	55	53	50	73	-	56	15	-	0	30.04	-	29.95	-	0	-
3	69	66	64	55	53	52	73	-	56	14	-	0	30.04	-	29.92	-	0	-
4	71	68	64	57	55	54	73	-	56	14	-	2	30.04	-	29.92	-	0	-
5	69	64	60	59	56	52	83	-	64	20	-	0	30.04	-	29.89	-	0	-
6	69	64	60	57	56	54	82	-	56	15	-	0	30.01	-	29.89	-	0	-
7	69	68	66	57	54	50	73	-	53	14	-	0	30.06	-	29.95	-	0	-
8	69	68	66	57	55	52	73	-	56	15	-	6	30.06	-	29.92	-	0	-
9	69	64	60	57	54	50	73	-	56	17	-	2	30.01	-	29.89	-	0	-
10	69	64	59	57	55	52	77	-	64	13	-	4	30.04	-	29.92	-	0	-
11	71	66	62	57	56	54	72	-	60	14	-	0	30.04	-	29.92	-	0	-
12	69	68	66	57	55	54	68	-	60	14	-	2	30.04	-	29.92	-	0	-
13	73	64	55	59	55	54	94	-	53	20	-	0	30.04	-	29.89	-	0	-
14	71	65	59	59	57	50	78	-	64	20	-	0	30.04	-	29.95	-	0	-
15	71	66	62	59	56	54	78	-	56	21	-	0	30.04	-	29.95	-	0	-
16	71	66	62	59	56	55	77	-	57	20	-	1	30.01	-	29.89	-	0	-
17	69	64	59	61	57	52	83	-	64	24	-	0	29.98	-	29.86	-	0	-
18	69	64	60	59	57	50	83	-	64	24	-	2	30.01	-	29.92	-	0	-
19	71	64	57	59	57	52	88	-	64	18	-	0	30.01	-	29.92	-	0	-
20	71	66	62	57	56	54	82	-	56	16	-	4	30.01	-	29.92	-	0	-
21	71	66	62	55	53	52	73	-	50	13	-	0	30.01	-	29.95	-	0	-
22	71	66	60	59	53	48	73	-	53	17	-	0	30.01	-	29.89	-	0	-
23	71	66	62	59	55	52	78	-	53	18	-	0	30.01	-	29.89	-	0	-
24	71	66	62	59	56	52	82	-	53	18	-	0	30.01	-	29.89	-	0	-
25	71	66	62	57	55	52	77	-	60	20	-	2	30.06	-	29.98	-	0	-
26	71	68	64	57	53	52	73	-	50	20	-	0	30.06	-	29.92	-	0	-
27	69	64	60	57	54	52	77	-	56	17	-	0	30.04	-	29.92	-	0	-
28	71	66	62	57	55	52	77	-	56	18	-	1	30.01	-	29.89	-	0	-
29	71	65	59	59	56	50	78	-	60	18	-	0	29.98	-	29.83	-	0	-
30	69	66	62	59	57	54	78	-	64	17	-	1	29.98	-	29.86	-	0	-
2016	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Dec	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	71	66	62	59	57	55	82	-	60	14	-	0	30.01	-	29.89	-	0	-
2	71	68	66	59	56	54	73	-	57	21	-	4	30.06	-	29.92	-	0	-
3	71	68	66	59	56	54	73	-	53	20	-	2	30.06	-	29.92	-	0	-
4	71	66	60	59	57	54	78	-	60	25	-	0	30.06	-	29.89	-	0	-
5	71	66	62	59	56	55	77	-	57	21	-	2	29.98	-	29.89	-	0	-
6	71	66	62	55	55	52	73	-	53	16	-	0	30.04	-	29.95	-	0	-
7	71	68	64	59	55	52	73	-	53	16	-	2	30.04	-	29.92	-	0	-
8	73	68	62	59	55	52	68	-	53	18	-	2	30.06	-	29.92	-	0	-
9	75	70	64	61	56	50	78	-	50	20	-	5	30.06	-	29.95	-	0	-
10	71	66	62	61	56	52	83	-	53	22	-	5	30.06	-	29.98	-	0	-
11	71	66	62	61	56	52	83	-	57	21	-	0	30.04	-	29.92	-	0	-
12	73	68	62	59	56	54	77	-	56	15	-	0	29.98	-	29.86	-	0	-
13	73	66	60	61	56	52	83	-	57	15	-	0	29.98	-	29.89	-	0	-
14	75	70	64	61	58	54	78	-	53	17	-	0	29.98	-	29.89	-	0	-
15	73	68	64	61	59	55	78	-	64	16	-	2	30.04	-	29.89	-	0	-
16	73	68	64	63	59	55	73	-	64	21	-	0	30.01	-	29.92	-	0	-
17	75	70	66	59	57	55	73	-	50	17	-	0	30.04	-	29.92	-	0	-
18	73	68	62	59	55	52	68	-	53	18	-	5	30.01	-	29.86	-	0	-
19	75	68	62	61	57	52	69	-	53	15	-	0	29.98	-	29.89	-	0	-
20	73	68	64	61	57	54	73	-	53	18	-	0	29.98	-	29.89	-	0	-
21	75	70	66	61	59	55	78	-	57	18	-	0	29.95	-	29.86	-	0	-
22	75	70	66	63	59	55	73	-	57	14	-	2	30.01	-	29.89	-	0	-
23	78	72	66	61	58	55	78	-	47	16	-	0	30.04	-	29.89	-	0	-
24	77	72	66	63	58	54	73	-	50	20	-	6	29.98	-	29.89	-	0	-
25	77	72	66	61	58	54	73	-	50	16	-	2	29.98	-	29.89	-	0	-
26	75	70	66	63	58	54	78	-	53	21	-	2	29.98	-	29.86	-	0	-
27	75	70	64	61	58	57	77	-	53	17	-	2	29.98	-	29.86	-	0	-
28	75	70	64	59	55	52	73	-	47	18	-	6	29.95	-	29.83	-	0	-
29	77	70	64	59	57	54	68	-	54	16	-	2	29.98	-	29.86	-	0	-
30	75	70	65	61	58	55	73	-	49	16	-	5	29.98	-	29.86	-	0	-
31	75	71	67	61	59	57	73	-	53	15	-	5	30.01	-	29.89	-	0	-
2017	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Jan	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	75	72	68	59	57	55	68	-	50	18	-	2	30.01	-	29.92	-	0	-
2	75	72	68	61	58	55	69	-	57	15	-	0	30.01	-	29.92	-	0	-
3	75	72	68	63	58	54	73	-	57	17	-	0	29.98	-	29.8	-	0	-
4	77	72	66	64	59	55	83	-	54	17	-	2	29.89	-	29.74	-	0	-
5	77	72	68	64	61	57	78	-	54	13	-	2	29.95	-	29.86	-	0	-
6	78	74	69	63	60	57	73	-	50	15	-	0	29.98	-	29.89	-	0	-
7	80	74	69	66	62	55	73	-	47	23	-	1	29.98	-	29.86	-	0	-
8	78	74	69	66	63	61	88	-	54	25	-	4	29.98	-	29.86	-	0	-
9	79	74	69	63	61	59	78	-	49	17	-	0	29.98	-	29.89	-	0	-
10	78	74	70	66	62	57	73	-	52	16	-	6	29.96	-	29.89	-	0	-
11	78	74	69	64	61	59	73	-	54	16	-	0	29.95	-	29.83	-	0	-
12	80	76	71	64	61	59	78	-	43	18	-	4	29.95	-	29.86	-	0	-
13	79	74	68	66	62	59	78	-	46	22	-	1	29.95	-	29.8	-	0	-
14	80	75	70	66	63	62	73	-	48	12	-	0	29.95	-	29.8	-	0	-
15	80	76	73	66	64	63	73	-	48	16	-	0	29.92	-	29.83	-	0	-
16	83	78	73	66	64	59	78	-	44	18	-	4	29.96	-	29.86	-	0	-
17	79	74	70	69	64	59	84	-	50	24	-	4	29.95	-	29.8	-	0	-
18	79	75	71	66	63	61	78	-	48	17	-	0	29.95	-	29.83	-	0	-
19	81	77	73	66	64	61	78	-	51	12	-	0	29.98	-	29.86	-	0	-
20	83	78	73	66	63	62	69	-	45	14	-	0	29.96	-	29.86	-	0	-
21	81	77	73	70	66	64	74	-	58	13	-	0	30.01	-	29.89	-	0	-
22	84	80	75	70	66	64	74	-	47	14	-	2	30.02	-	29.92	-	0	-
23	84	79	74	70	66	63	73	-	44	17	-	0	30.01	-	29.89	-	0	-
24	82	78	73	72	68	63	83	-	61	18	-	4	29.98	-	29.8	-	0	-
25	81	76	71	68	66	64	78	-	55	18	-	1	29.95	-	29.83	-	0	-
26	83	78	74	68	65	61	74	-	42	18	-	0	29.98	-	29.89	-	0	-
27	82	77	72	70	66	59	74	-	47	21	-	0	30.01	-	29.83	-	0	-
28	81	76	70	70	65	57	74	-	49	21	-	0	29.95	-	29.77	-	0	-
29	81	76	71	70	67	61	83	-	57	15	-	2	29.92	-	29.83	-	0	-
30	82	78	74	68	66	63	74	-	48	16	-	0	29.95	-	29.86	-	0	-
31	82	76	71	68	65	63	78	-	47	17	-	2	29.95	-	29.83	-	0	-
2017	Temperature (° F)			Dew Point (° F)			Humidity (%)			Wind Speed (mph)			Pressure (Hg)			Precipation (in)		
Feb	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min	Max	Avg	Min
1	81	60	39	68	63	37	93	-	51	15	-	0	29.92	-	29.59	-	0	-
2	84	78	72	66	63	61	73	-	40	15	-	0	29.92	-	29.83	-	0	-
3	83	78	72	66	62	59	69	-	40	20	-	0	29.95	-	29.83	-	0	-
4	81	76	70	63	61	59	69	-	41	24	-	2	29.95	-	29.83	-	0	-
5	79	74	69	63	60	57	69	-	49	20	-	0	29.89	-	29.8	-	0	-
6	78	72	67	63	61	57	69	-	51	17	-	0	29.89	-	29.8	-	0	-
7	78	73	68	63	61	59	73	-	43	21	-	0	29.89	-	29.8	-	0	-
8	78	72	67	61	59	57	68	-	44	21	-	0	29.95	-	29.83	-	0	-
9	79	74	68	63	59	50	69	-	40	20	-	2	29.95	-	29.86	-	0	-
10	79	74	68	61	59	55	73	-	38	25	-	0	29.98	-	29.89	-	0	-
11	81	74	68	61	59	57	65	-	39	24	-	1	29.98	-	29.89	-	0	-
12	81	74	68	61	57	55	69	-	34	22	-	7	29.98	-	29.8	-	0	-
13	81	75	69	61	59	57	69	-	34	22	-	0	29.93	-	29.83	-	0	-
14	82	76	70	63	59	57	69	-	33	25	-	4	29.98	-	29.83	-	0	-
15	81	75	69	64	60	57	73	-	34	23	-	6	30.01	-	29.92	-	0	-
16	79	74	69	63	59	55	73	-	47	21	-	1	30.01	-	29.92	-	0	-
17	82	76	70	63	58	55	73	-	37	22	-	5	30.01	-	29.92	-	0	-
18	82	75	68	59	57	55	64	-	42	23	-	6	30.01	-	29.89	-	0	-
19	80	74	67	61	58	55	73	-	36	22	-	0	29.98	-	29.86	-	0	-
20	77	72	67	64	61	57	73	-	52	20	-	7	30.01	-	29.92	-	0	-
21	79	74	69	64	61	59	78	-	47	18	-	2	30.01	-	29.92	-	0	-
22	79	74	68	64	62	59	83	-	46	21	-	4	29.98	-	29.8	-	0	-
23	82	76	69	64	61	59	73	-	40	16	-	0	29.95	-	29.83	-	0	-
24	84	78	72	64	61	57	65	-	34	16	-	4	29.92	-	29.83	-	0	-
25	84	78	71	67	62	59	73	-	38	17	-	0	29.92	-	29.83	-	0	-
26	86	80	74	64	63	63	69	-	45	18	-	6	29.92	-	29.83	-	0	-
27	84	80	75	64	62	60	65	-	43	16	-	0	29.98	-	29.89	-	0	-
28	83	78	72	68	63	59	73	-	45	20	-	4	29.98	-	29.8	-	0	-
